Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,E84A904909dF528,Liu-Hoover,http://www.day-hartman.org/,Western Sahara,Ergonomic zero administration knowledge user,1980,Online Publishing,6852
2,AAC4f9aBF86EAeF,Orr-Armstrong,https://www.chapman.net/,Algeria,Ergonomic radical budgetary management,1970,Import / Export,7994
3,ad2eb3C8C24DB87,Gill-Lamb,http://lin.com/,Cote d'Ivoire,Programmable intermediate conglomeration,2005,Apparel / Fashion,5105
4,D76BB12E5eE165B,Bauer-Weiss,https://gillespie-stout.com/,United States of America,Synergistic maximized definition,2015,Dairy,9069
5,2F31EddF2Db9aAE,Love-Palmer,https://kramer.com/,Denmark,Optimized optimizing moderator,2010,Management Consulting,6991
6,6774DC1dB00BD11,"Farmer, Edwards and Andrade",http://wolfe-boyd.com/,Norfolk Island,Virtual leadingedge benchmark,2003,Mental Health Care,3503
7,116B5cD4eE1fAAc,"Bass, Hester and Mcclain",https://meza-smith.com/,Uzbekistan,Multi-tiered system-worthy hub,1994,Computer Hardware,2762
8,AB2eA15d98b6BD4,"Strickland, Gray and Jensen",http://kerr.info/,Israel,Team-oriented fresh-thinking knowledge user,1987,Performing Arts,7020
9,0c6D831e8DceCfE,"Sparks, Decker and Powell",https://www.howe.net/,Israel,Down-sized content-based info-mediaries,1977,Marketing / Advertising / Sales,2709
10,9ABE0c8aee135d6,"Osborn, Ford and Macdonald",http://www.mcdonald-watts.biz/,Syrian Arab Republic,Optional coherent focus group,1990,Investment Banking / Venture,5731
11,C494aBe0CDB9c70,Gonzales Inc,http://lara.org/,Angola,Enterprise-wide attitude-oriented conglomeration,2019,Capital Markets / Hedge Fund / Private Equity,2252
12,9FBF69aa2D9AAF1,"Ballard, Goodman and Boone",http://berger-chen.info/,Iran,Multi-layered zero administration ability,2019,Logistics / Procurement,6165
13,4EB9d3E5cF79b91,"Bernard, Payne and Spencer",http://williamson.net/,Afghanistan,Polarized dynamic projection,1990,Transportation,730
14,e5CA6529DCD4030,Mcpherson-Blanchard,http://www.ward.com/,Bulgaria,Integrated didactic product,1972,Law Enforcement,9890
15,b0BBeBB36bAbb35,"Koch, Gomez and Hays",http://ewing-rosario.biz/,French Southern Territories,Operative national superstructure,1997,Financial Services,8497
